a,b,c,d,e,f,g,h,i,j,k,l
3.70E-05,0.143983,-0.327619,0.059944,-0.012496,0.992106,-0.051719,-0.004541,0.998651,0,2019/1/23 10:01,2019/1/23 10:01
0.055844,0.159552,-0.335354,0.055787,-0.01717,0.993253,-0.051071,-0.004386,0.998685,0,2019/1/23 10:01,2019/1/23 10:01
0.032374,0.230906,-0.358001,0.052415,-0.012072,0.996672,-0.05112,-0.004423,0.998683,0,2019/1/23 10:01,2019/1/23 10:01
0.068076,0.278404,-0.184629,0.053838,-0.006816,0.988153,-0.049706,-0.004068,0.998756,0,2019/1/23 10:01,2019/1/23 10:01
0.14957,0.242157,-0.198184,0.059602,-0.010219,0.995972,-0.049746,-0.004065,0.998754,0,2019/1/23 10:01,2019/1/23 10:01
0.17332,0.130746,-0.053213,0.051991,-0.004256,0.99306,-0.046602,-0.003304,0.998908,0,2019/1/23 10:01,2019/1/23 10:01
0.309677,0.269497,-0.016101,0.050826,-0.011104,1.000361,-0.046624,-0.003245,0.998907,0,2019/1/23 10:01,2019/1/23 10:01
0.288002,0.261943,0.037735,0.053197,-0.007826,0.999745,-0.045611,-0.002974,0.998955,0,2019/1/23 10:01,2019/1/23 10:01
0.308677,0.185402,0.096429,0.053282,-0.007155,0.996484,-0.045599,-0.002912,0.998956,0,2019/1/23 10:01,2019/1/23 10:01
0.241226,0.179797,0.048912,0.046201,-0.011386,1.00542,-0.044032,-0.00258,0.999027,0,2019/1/23 10:01,2019/1/23 10:01
0.111164,0.225803,0.088377,0.045717,-0.00745,0.995322,-0.04402,-0.002577,0.999027,0,2019/1/23 10:01,2019/1/23 10:01
0.103309,0.193349,0.06654,0.053178,-0.012976,0.997417,-0.039092,-0.001791,0.999234,0,2019/1/23 10:01,2019/1/23 10:01
0.020886,0.137057,0.089838,0.049866,-0.008333,0.997091,-0.039009,-0.001807,0.999237,0,2019/1/23 10:01,2019/1/23 10:01
0.012263,0.125488,0.005335,0.033906,-0.0083,0.990478,-0.038856,-0.001825,0.999243,0,2019/1/23 10:01,2019/1/23 10:01
0.034787,0.27287,0.033144,0.016162,-0.008575,0.994233,-0.038814,-0.001838,0.999245,0,2019/1/23 10:01,2019/1/23 10:01
-0.021531,0.383824,0.006984,-0.007917,-0.006512,0.984487,-0.038817,-0.001876,0.999245,0,2019/1/23 10:01,2019/1/23 10:01
-0.004157,0.76714,0.022395,-0.038924,-0.008588,0.992846,-0.038926,-0.0019,0.99924,0,2019/1/23 10:01,2019/1/23 10:01
-0.05786,1.092606,-0.009152,-0.060685,-0.007181,0.993071,-0.039191,-0.001953,0.99923,0,2019/1/23 10:01,2019/1/23 10:01
-0.008387,1.376258,0.000833,-0.071401,-0.008044,0.998704,-0.039485,-0.001979,0.999218,0,2019/1/23 10:01,2019/1/23 10:01
0.000532,1.4246,-0.015752,-0.08199,-0.004509,1.014287,-0.039853,-0.002015,0.999204,0,2019/1/23 10:01,2019/1/23 10:01
0.011103,1.477941,-0.080312,-0.087558,-0.007113,1.009541,-0.040179,-0.002036,0.99919,0,2019/1/23 10:01,2019/1/23 10:01
-0.025811,1.352544,-0.039065,-0.084289,-0.008849,1.026265,-0.040525,-0.00208,0.999176,0,2019/1/23 10:01,2019/1/23 10:01
-0.054947,1.061672,0.01563,-0.086096,-0.006934,1.015275,-0.040725,-0.00212,0.999168,0,2019/1/23 10:01,2019/1/23 10:01
-0.018237,0.811692,-0.05453,-0.082536,-0.014423,1.018385,-0.040904,-0.002162,0.999161,0,2019/1/23 10:01,2019/1/23 10:01
-0.138594,0.570752,0.042049,-0.078667,-0.011003,1.009953,-0.040956,-0.002227,0.999158,0,2019/1/23 10:01,2019/1/23 10:01
-0.13774,0.401105,0.071085,-0.064744,-0.01056,0.995923,-0.040998,-0.002304,0.999157,0,2019/1/23 10:01,2019/1/23 10:01
-0.126787,0.097599,0.084271,-0.055851,-0.011341,0.995896,-0.040908,-0.002366,0.99916,0,2019/1/23 10:01,2019/1/23 10:01
-0.059279,-0.067682,0.129129,-0.055109,-0.010657,0.975286,-0.040809,-0.002418,0.999164,0,2019/1/23 10:01,2019/1/23 10:01
8.30E-05,-0.061711,0.040102,-0.04477,-0.011587,0.977554,-0.040671,-0.002442,0.99917,0,2019/1/23 10:01,2019/1/23 10:01
0.088465,-0.086907,0.059295,-0.0332,-0.010703,0.966982,-0.040561,-0.002451,0.999174,0,2019/1/23 10:01,2019/1/23 10:01
0.127329,-0.099231,0.076491,-0.032263,-0.015248,0.969188,-0.040412,-0.002437,0.99918,0,2019/1/23 10:01,2019/1/23 10:01
0.1421,0.01333,0.033166,-0.032378,-0.014638,0.984114,-0.0403,-0.002435,0.999185,0,2019/1/23 10:01,2019/1/23 10:01
0.060544,0.105452,0.093623,-0.028354,-0.011661,0.974997,-0.040214,-0.002441,0.999188,0,2019/1/23 10:01,2019/1/23 10:01
0.100327,0.151494,0.126774,-0.022945,-0.012311,0.99203,-0.040023,-0.002472,0.999196,0,2019/1/23 10:01,2019/1/23 10:01
0.119957,0.144828,0.072611,-0.030821,-0.008371,0.993124,-0.039948,-0.00246,0.999199,0,2019/1/23 10:01,2019/1/23 10:01
0.18493,0.275362,-0.00179,-0.035996,-0.013815,1.003697,-0.039793,-0.002473,0.999205,0,2019/1/23 10:01,2019/1/23 10:01
